station,PumpCycle,CO2_umol,closest_hour,month,diff_umol,ebul_umol,date,flux_unit
1,92,3866.6202976560417,2022-05-23T13:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
1,93,3354.0894993438765,2022-05-23T14:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
1,94,3272.9260828560714,2022-05-23T15:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
1,95,3488.7083532613196,2022-05-23T16:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
1,96,1980.32783025278,2022-05-23T17:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
1,97,1444.942882405693,2022-05-23T18:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
1,98,828.0373367543333,2022-05-23T19:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
1,99,252.6582732433125,2022-05-23T20:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
1,100,NA,2022-05-23T21:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
1,101,NA,2022-05-23T22:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
1,102,NA,2022-05-23T23:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
1,103,353.32747505886135,2022-05-24T00:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
1,104,724.7626846755956,2022-05-24T01:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
1,105,2026.509106738044,2022-05-24T03:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
1,106,1248.2985033298403,2022-05-24T04:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
1,107,5135.459798997428,2022-05-24T05:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
1,108,2769.953345061674,2022-05-24T06:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
1,109,3716.2653634950634,2022-05-24T07:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
1,110,3669.596235365353,2022-05-24T08:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
1,111,3849.9291594533743,2022-05-24T09:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
1,112,3266.954006126433,2022-05-24T10:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
1,113,3216.5175733777696,2022-05-24T11:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
1,114,2997.9185715973726,2022-05-24T12:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
1,115,3284.849309285069,2022-05-24T13:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
1,116,3775.2748087531945,2022-05-24T14:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
1,117,2436.68476243182,2022-05-24T15:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
1,118,2237.2778938063248,2022-05-24T16:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
1,119,923.6915487943508,2022-05-24T17:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
1,120,716.0986824599314,2022-05-24T19:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
1,121,691.1711699828369,2022-05-24T20:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
1,122,NA,2022-05-24T21:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
1,123,451.5184887258545,2022-05-24T22:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
1,124,1491.4399245298705,2022-05-24T23:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
1,125,2158.540156401451,2022-05-25T00:00:00Z,5,NA,NA,2022-05-25,µmol m-2 h-1
2,1,NA,2022-05-19T11:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
2,2,621.8329367440629,2022-05-19T12:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
2,3,1472.157749284078,2022-05-19T13:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
2,4,1517.570001521492,2022-05-19T14:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
2,5,2029.5372027369071,2022-05-19T15:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
2,6,1002.7126145907872,2022-05-19T17:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
2,7,1152.0698352319275,2022-05-19T18:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
2,8,1251.7753547823386,2022-05-19T19:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
2,9,1372.5571251355789,2022-05-19T20:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
2,10,1250.7556632407918,2022-05-19T21:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
2,11,1483.066235391337,2022-05-19T22:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
2,12,1882.5005272096512,2022-05-19T23:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
2,13,1300.2976156828638,2022-05-20T00:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
2,14,1361.5977339373137,2022-05-20T01:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
2,15,1787.2696107595157,2022-05-20T02:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
2,16,1800.3960950464452,2022-05-20T03:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
2,17,1532.7271188650177,2022-05-20T04:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
2,18,1858.5665286920748,2022-05-20T05:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
2,19,1767.4797306062133,2022-05-20T06:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
2,20,1706.1313734725763,2022-05-20T07:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
2,21,1010.8653956688952,2022-05-20T08:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
2,22,673.2970591879528,2022-05-20T09:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
2,23,649.1470283786203,2022-05-20T10:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
2,24,1291.2576274430212,2022-05-20T11:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
2,25,484.245831082118,2022-05-20T12:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
2,26,1547.2968323739226,2022-05-20T13:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
2,27,647.9232192096783,2022-05-20T14:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
2,28,892.2407721471316,2022-05-20T15:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
2,29,974.6154469215102,2022-05-20T16:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
2,30,635.09437187525225,2022-05-20T17:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
2,31,1082.135532553874,2022-05-20T18:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
2,32,630.4079902892363,2022-05-20T19:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
2,33,979.7450664262734,2022-05-20T20:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
2,34,959.2341636897772,2022-05-20T21:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
2,35,1300.0432104325073,2022-05-20T22:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
2,36,1019.8148235037432,2022-05-20T23:00:00Z,5,NA,NA,2022-05-20,µmol m-2 h-1
2,37,2157.755333367794,2022-05-21T00:00:00Z,5,NA,NA,2022-05-21,µmol m-2 h-1
2,38,1669.072735375149,2022-05-21T01:00:00Z,5,NA,NA,2022-05-21,µmol m-2 h-1
2,39,2337.3802647267667,2022-05-21T02:00:00Z,5,NA,NA,2022-05-21,µmol m-2 h-1
2,40,2288.132018785567,2022-05-21T03:00:00Z,5,NA,NA,2022-05-21,µmol m-2 h-1
2,41,1124.1483944581078,2022-05-21T04:00:00Z,5,NA,NA,2022-05-21,µmol m-2 h-1
2,42,812.5197027341511,2022-05-21T05:00:00Z,5,NA,NA,2022-05-21,µmol m-2 h-1
2,43,1332.9595741397866,2022-05-21T06:00:00Z,5,NA,NA,2022-05-21,µmol m-2 h-1
2,44,2015.0358621463645,2022-05-21T07:00:00Z,5,NA,NA,2022-05-21,µmol m-2 h-1
2,45,1420.2904060098288,2022-05-21T08:00:00Z,5,NA,NA,2022-05-21,µmol m-2 h-1
2,46,1233.7712925272128,2022-05-21T09:00:00Z,5,NA,NA,2022-05-21,µmol m-2 h-1
2,47,1286.4946230459243,2022-05-21T10:00:00Z,5,NA,NA,2022-05-21,µmol m-2 h-1
