Model:	LI-7820
SN:	TG20-01480
Software Version:	2.3.8
Timestamp:	2024-08-05 11:00:50
Timezone:	Europe/Copenhagen
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	N2O	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1722848533	47529935	832	256	""	2024-08-05	11:02:13	nan	nan	101.731	24.4577	101.252	34.9236	0	0	24.5782	-16000	0	16.0378	 21
DATA	1722848535	147529840	853	256	""	2024-08-05	11:02:15	nan	nan	101.732	24.4672	101.251	34.9236	0	0	24.5892	-16000	0	16.0388	 71
DATA	1722848535	847529888	860	256	""	2024-08-05	11:02:15	nan	nan	101.732	24.4781	101.253	34.9236	0	0	24.6032	-16000	0	16.0351	 68
DATA	1722848535	847425937	860	256	""	2024-08-05	11:02:15	nan	nan	101.731	24.497	101.252	34.9236	0	0	24.6265	-16000	0	16.0361	 17
DATA	1722848535	847425937	860	256	""	2024-08-05	11:02:15	nan	nan	101.731	24.5159	101.252	34.9236	0	0	24.6492	-16000	0	16.0356	 71
DATA	1722848538	447425842	886	256	""	2024-08-05	11:02:18	nan	nan	101.733	24.5276	101.253	34.9236	0	0	24.6641	-16000	0	16.0356	 75
DATA	1722848538	447425842	886	256	""	2024-08-05	11:02:18	nan	nan	101.732	24.5397	101.253	34.9236	0	0	24.6795	-16000	0	16.0326	 85
DATA	1722848538	447331905	886	256	""	2024-08-05	11:02:18	nan	nan	101.732	24.5581	101.252	34.9236	0	0	24.7028	-16000	0	16.0331	 61
DATA	1722848538	447331905	886	256	""	2024-08-05	11:02:18	nan	nan	101.731	24.576	101.253	34.9236	0	0	24.7256	-16000	0	16.0333	 17
DATA	1722848538	447331905	886	256	""	2024-08-05	11:02:18	nan	nan	101.732	24.594	101.254	34.9236	0	0	24.7484	-16000	0	16.0325	 23
DATA	1722848539	947273015	886	256	""	2024-08-05	11:02:19	nan	nan	101.731	24.6124	101.253	34.9236	0	0	24.7713	-16000	0	16.032	 10
DATA	1722848545	747273206	944	256	""	2024-08-05	11:02:25	nan	nan	101.731	24.6284	101.252	34.9236	0	0	24.7918	-16000	0	16.0286	 71
DATA	1722848545	947064876	961	256	""	2024-08-05	11:02:25	nan	nan	101.73	24.6624	101.252	34.9236	0	0	24.835	-16000	0	16.0268	231
DATA	1722848546	247273206	949	256	""	2024-08-05	11:02:26	nan	nan	101.731	24.6446	101.252	34.9236	0	0	24.8124	-16000	0	16.0273	 59
DATA	1722848546	447064876	966	256	""	2024-08-05	11:02:26	nan	nan	101.731	24.6811	101.252	34.9236	0	0	24.8586	-16000	0	16.0257	 81
DATA	1722848546	447064876	966	256	""	2024-08-05	11:02:26	nan	nan	101.731	24.6988	101.252	34.9236	0	0	24.8812	-16000	0	16.0253	 84
DATA	1722848546	447036027	966	256	""	2024-08-05	11:02:26	nan	nan	101.731	24.7166	101.252	34.9236	0	0	24.9039	-16000	0	16.0267	 67
DATA	1722848549	447036027	996	256	""	2024-08-05	11:02:29	nan	nan	101.73	24.7274	101.252	34.9236	0	0	24.9177	-16000	0	16.0262	 25
DATA	1722848549	647036075	998	256	""	2024-08-05	11:02:29	nan	nan	101.73	24.7381	101.252	34.9236	0	0	24.9313	-16000	0	16.0242	 21
DATA	1722848551	347036123	1015	256	""	2024-08-05	11:02:31	nan	nan	101.731	24.7548	101.252	34.9236	0	0	24.9528	-16000	0	16.0253	 91
DATA	1722848551	646836996	1018	256	""	2024-08-05	11:02:31	nan	nan	101.731	24.7712	101.252	34.9236	0	0	24.9738	-16000	0	16.0231	114
DATA	1722848551	646836996	1018	256	""	2024-08-05	11:02:31	nan	nan	101.73	24.789	101.252	34.9236	0	0	24.9968	-16000	0	16.0238	 36
DATA	1722848553	846837043	1040	256	""	2024-08-05	11:02:33	nan	nan	101.73	24.8026	101.251	34.9236	0	0	25.0142	-16000	0	16.0234	 32
DATA	1722848554	546837091	1047	256	""	2024-08-05	11:02:34	nan	nan	101.73	24.8154	101.251	34.9236	0	0	25.0319	-16000	0	16.0209	 51
DATA	1722848555	146744012	1053	256	""	2024-08-05	11:02:35	nan	nan	101.731	24.8323	101.252	34.9236	0	0	25.0542	-16000	0	16.0199	 90
DATA	1722848556	746744155	1069	256	""	2024-08-05	11:02:36	nan	nan	101.729	24.8505	101.251	34.9236	0	0	25.0769	-16000	0	16.0195	128
DATA	1722848556	746744155	1069	256	""	2024-08-05	11:02:36	nan	nan	101.73	24.8685	101.252	34.9236	0	0	25.0996	-16000	0	16.0184	 82
DATA	1722848558	346657991	1085	256	""	2024-08-05	11:02:38	nan	nan	101.729	24.8809	101.253	34.9236	0	0	25.1156	-16000	0	16.0199	141
DATA	1722848558	346657991	1085	256	""	2024-08-05	11:02:38	nan	nan	101.73	24.8941	101.252	34.9236	0	0	25.1332	-16000	0	16.0187	 74
DATA	1722848560	346657991	1105	256	""	2024-08-05	11:02:40	nan	nan	101.73	24.9116	101.251	34.9236	0	0	25.1557	-16000	0	16.0191	 51
DATA	1722848560	346524000	1105	256	""	2024-08-05	11:02:40	nan	nan	101.73	24.9292	101.252	34.9236	0	0	25.1784	-16000	0	16.018	239
DATA	1722848562	246524095	1124	256	""	2024-08-05	11:02:42	nan	nan	101.728	24.9453	101.251	34.9236	0	0	25.2002	-16000	0	16.018	 38
DATA	1722848562	846524000	1130	256	""	2024-08-05	11:02:42	nan	nan	101.729	24.9616	101.252	34.9236	0	0	25.2214	-16000	0	16.016	 33
DATA	1722848563	546403884	1137	256	""	2024-08-05	11:02:43	nan	nan	101.729	24.9791	101.252	34.9236	0	0	25.2441	-16000	0	16.0171	111
DATA	1722848563	546403884	1137	256	""	2024-08-05	11:02:43	nan	nan	101.73	24.9962	101.251	34.9236	0	0	25.2665	-16000	0	16.0144	 62
DATA	1722848566	46403884	1162	256	""	2024-08-05	11:02:46	nan	nan	101.73	25.0116	101.251	34.9236	0	0	25.2866	-16000	0	16.0158	  4
DATA	1722848566	446300983	1166	256	""	2024-08-05	11:02:46	nan	nan	101.729	25.0278	101.251	34.9236	0	0	25.3068	-16000	0	16.0133	109
DATA	1722848566	446300983	1166	256	""	2024-08-05	11:02:46	nan	nan	101.729	25.0453	101.252	34.9236	0	0	25.3292	-16000	0	16.0143	105
DATA	1722848568	346301078	1185	256	""	2024-08-05	11:02:48	nan	nan	101.73	25.0557	101.252	34.9236	0	0	25.3428	-16000	0	16.0152	 55
DATA	1722848569	246301174	1194	256	""	2024-08-05	11:02:49	nan	nan	101.729	25.0674	101.251	34.9236	0	0	25.358	-16000	0	16.0124	 58
DATA	1722848570	346184968	1205	256	""	2024-08-05	11:02:50	nan	nan	101.729	25.0845	101.251	34.9236	0	0	25.3812	-16000	0	16.0108	104
DATA	1722848570	646184921	1208	256	""	2024-08-05	11:02:50	nan	nan	101.728	25.1018	101.251	34.9236	0	0	25.4037	-16000	0	16.0104	 87
DATA	1722848570	646184921	1208	256	""	2024-08-05	11:02:50	nan	nan	101.728	25.1187	101.252	34.9236	0	0	25.4258	-16000	0	16.0118	105
DATA	1722848570	646146059	1208	256	""	2024-08-05	11:02:50	nan	nan	101.728	25.1356	101.251	34.9236	0	0	25.4479	-16000	0	16.0121	101
DATA	1722848573	646146059	1238	256	""	2024-08-05	11:02:53	nan	nan	101.727	25.1467	101.251	34.9236	0	0	25.4622	-16000	0	16.0116	106
DATA	1722848573	646146059	1238	256	""	2024-08-05	11:02:53	nan	nan	101.727	25.1579	101.251	34.9236	0	0	25.4769	-16000	0	16.0085	127
DATA	1722848575	246146202	1254	256	""	2024-08-05	11:02:55	nan	nan	101.728	25.1716	101.251	34.9236	0	0	25.4948	-16000	0	16.0095	109
DATA	1722848575	645968914	1258	256	""	2024-08-05	11:02:55	nan	nan	101.727	25.1848	101.251	34.9236	0	0	25.5122	-16000	0	16.0083	125
DATA	1722848577	245969057	1274	256	""	2024-08-05	11:02:57	nan	nan	101.727	25.2026	101.25	34.9236	0	0	25.5348	-16000	0	16.0091	 71
DATA	1722848577	245969057	1274	256	""	2024-08-05	11:02:57	nan	nan	101.727	25.22	101.251	34.9236	0	0	25.5577	-16000	0	16.0064	 22
DATA	1722848579	45852899	1292	256	""	2024-08-05	11:02:59	nan	nan	101.727	25.2348	101.25	34.9236	0	0	25.577	-16000	0	16.008	194
DATA	1722848579	45852899	1292	256	""	2024-08-05	11:02:59	nan	nan	101.727	25.2502	101.25	34.9236	0	0	25.5972	-16000	0	16.0066	 34
DATA	1722848580	945852756	1311	256	""	2024-08-05	11:03:00	nan	nan	101.726	25.2673	101.249	34.9236	0	0	25.6196	-16000	0	16.0066	117
DATA	1722848580	945772886	1311	256	""	2024-08-05	11:03:00	nan	nan	101.726	25.2843	101.25	34.9236	0	0	25.6418	-16000	0	16.0055	 60
DATA	1722848582	145772933	1323	256	""	2024-08-05	11:03:02	nan	nan	101.727	25.2918	101.251	34.9236	0	0	25.6518	-16000	0	16.0058	109
DATA	1722848582	145772933	1323	256	""	2024-08-05	11:03:02	nan	nan	101.727	25.3025	101.25	34.9236	0	0	25.6656	-16000	0	16.0038	 51
DATA	1722848583	945772886	1341	256	""	2024-08-05	11:03:03	nan	nan	101.727	25.3198	101.25	34.9236	0	0	25.6879	-16000	0	16.0052	 82
DATA	1722848583	945662021	1341	256	""	2024-08-05	11:03:03	nan	nan	101.725	25.3367	101.25	34.9236	0	0	25.7103	-16000	0	16.0033	 37
DATA	1722848583	945662021	1341	256	""	2024-08-05	11:03:03	nan	nan	101.726	25.3532	101.25	34.9236	0	0	25.7324	-16000	0	16.0039	 43
DATA	1722848583	945662021	1341	256	""	2024-08-05	11:03:03	nan	nan	101.727	25.3709	101.251	34.9236	0	0	25.7547	-16000	0	16.0039	106
DATA	1722848588	945626974	1381	256	""	2024-08-05	11:03:08	nan	nan	101.726	25.3865	101.25	34.9236	0	0	25.7746	-16000	0	16.0042	 85
DATA	1722848589	945626974	1391	256	""	2024-08-05	11:03:09	nan	nan	101.727	25.4015	101.25	34.9236	0	0	25.7941	-16000	0	16.0013	 72
DATA	1722848589	945626974	1391	256	""	2024-08-05	11:03:09	nan	nan	101.725	25.4181	101.25	34.9236	0	0	25.8159	-16000	0	15.9997	105
DATA	1722848590	745405912	1409	256	""	2024-08-05	11:03:10	nan	nan	101.725	25.4489	101.249	34.9236	0	0	25.8558	-16000	0	16.0005	116
DATA	1722848591	745627164	1409	256	""	2024-08-05	11:03:11	nan	nan	101.726	25.4335	101.249	34.9236	0	0	25.836	-16000	0	16.0015	 58
DATA	1722848592	45405864	1422	256	""	2024-08-05	11:03:12	nan	nan	101.727	25.4592	101.248	34.9236	0	0	25.8694	-16000	0	16	 76
DATA	1722848592	45405864	1422	256	""	2024-08-05	11:03:12	nan	nan	101.725	25.4706	101.249	34.9236	0	0	25.8841	-16000	0	15.9962	 73
DATA	1722848592	45351028	1422	256	""	2024-08-05	11:03:12	nan	nan	101.725	25.4875	101.249	34.9236	0	0	25.9066	-16000	0	16.0003	 50
DATA	1722848592	45351028	1422	256	""	2024-08-05	11:03:12	nan	nan	101.724	25.5045	101.249	34.9236	0	0	25.9288	-16000	0	16	 60
DATA	1722848592	45351028	1422	256	""	2024-08-05	11:03:12	nan	nan	101.725	25.5209	101.249	34.9236	0	0	25.9501	-16000	0	15.9998	 67
DATA	1722848593	945293903	1422	256	""	2024-08-05	11:03:13	nan	nan	101.724	25.5383	101.248	34.9236	0	0	25.9721	-16000	0	15.9995	135
DATA	1722848597	745151042	1479	256	""	2024-08-05	11:03:17	nan	nan	101.723	25.6011	101.248	34.9236	0	0	26.053	-16000	0	15.9975	 68
DATA	1722848597	745151042	1479	256	""	2024-08-05	11:03:17	nan	nan	101.724	25.618	101.249	34.9236	0	0	26.0756	-16000	0	15.995	 32
DATA	1722848599	645293951	1479	256	""	2024-08-05	11:03:19	nan	nan	101.724	25.5533	101.249	34.9236	0	0	25.991	-16000	0	15.9975	107
DATA	1722848599	645293951	1479	256	""	2024-08-05	11:03:19	nan	nan	101.723	25.5673	101.249	34.9236	0	0	26.0094	-16000	0	15.9953	150
